"PRICE","SQUARE.FEET","LOT.SIZE","BEDS","BATHS","AGE","ADDRESS","CITY","ZIP.OR.POSTAL.CODE","SOLD.DATE"
1000000,1626,8944,4,2,53,"1818 21st St","Santa Monica",90404,"July-25-2022"
1870000,1149,6744,2,2,95,"2234 22nd St","Santa Monica",90405,"April-19-2022"
2440000,1638,6221,3,2,73,"10342 Mississippi Ave","Los Angeles",90025,"July-11-2022"
1875000,2178,5199,4,3,98,"10741 Tabor St","Los Angeles",90034,"August-8-2022"
2457760,2260,6392,3,2,91,"10747 Rochester Ave","Los Angeles",90024,"April-26-2022"
1670000,1564,5804,4,2,65,"1049 Indiana Ct","Venice",90291,"August-3-2022"
1875000,1899,5251,2,1,83,"11350 Chenault St","Los Angeles",90049,""
1805000,854,2990,2,1,100,"2021 Idaho Ave","Santa Monica",90403,"May-3-2022"
1560000,1701,6619,3,4,1,"1819-1/2 Veteran Ave","Los Angeles",90025,"February-15-2022"
1600000,1406,6316,4,2.5,75,"2588 Military Ave","Los Angeles",90064,"February-23-2022"
1650000,1277,4560,3,2,86,"2761 S Bentley Ave","Los Angeles",90064,"May-16-2022"
3535000,1925,6870,3,3,82,"619 S Gretna Green Way","Los Angeles",90049,""
2280000,1552,6760,3,2,97,"10580 Kinnard Ave","Los Angeles",90024,"March-16-2022"
1990000,1625,5778,3,2,69,"11319 Rose Ave","Los Angeles",90066,"June-7-2022"
2000000,1744,6268,3,2,86,"1670 Comstock Ave","Los Angeles",90024,""
2210000,1938,4999,3,3,75,"2728 Burkshire Ave","Los Angeles",90064,"May-20-2022"
3200000,1296,7880,3,1.5,81,"1114 Yale St","Santa Monica",90403,"April-19-2022"
1857000,1412,5638,2,2,85,"1900 Holmby Ave","Los Angeles",90025,"February-28-2022"
