Player,Age,Team,Pos,FGA,X3PA,X2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Kobe Bufkin,21,ATL,SG,47,19,28,18,5,16,21,17,3,2,8,9,53,4503720
Garrett Temple,38,TOR,SG,60,28,32,12,9,20,29,31,17,2,10,23,53,2296274
Chuma Okeke,26,2TM,PF,40,28,12,3,21,26,47,15,5,4,3,5,53,2546675
Ariel Hukporti,22,NYK,C,31,0,31,13,14,37,51,11,1,15,21,32,48,1955377
Keshad Johnson,23,MIA,SF,26,7,19,9,6,22,28,4,5,4,4,11,43,1955377
Isaiah Jackson,23,IND,C,23,0,23,14,11,17,28,5,3,8,5,14,35,7600000
Xavier Tillman Sr.,26,BOS,C,53,32,21,4,10,33,43,7,11,5,14,18,34,2546675
JD Davison,22,BOS,PG,34,18,16,7,2,11,13,13,5,1,13,2,33,2270735
Pacome Dadiet,19,NYK,SG,31,19,12,6,3,15,18,5,3,2,4,7,30,2847600
N'Faly Dante,23,HOU,C,13,0,13,5,6,15,21,2,1,5,2,9,24,2048494
E.J. Liddell,24,CHI,PF,15,10,5,2,3,6,9,3,1,1,2,11,21,706898
Leonard Miller,21,MIN,SF,15,5,10,8,3,8,11,0,2,1,2,2,20,2221677
Cam Christie,19,LAC,SG,24,13,11,4,3,9,12,6,5,1,2,4,18,1955377
Joe Ingles,37,MIN,SF,23,15,8,0,2,9,11,23,2,0,9,12,15,2296274
Bobi Klintman,21,DET,SF,10,5,5,2,1,6,7,7,2,1,1,8,15,1955377
Taylor Hendricks,21,UTA,PF,18,12,6,4,5,10,15,2,5,4,2,8,14,6127080
P.J. Tucker,39,NYK,SF,7,6,1,0,4,4,8,0,1,1,1,8,9,3468960
James Wiseman,23,IND,C,4,1,3,2,0,1,1,0,0,0,0,0,6,1000000
